Day,Crop_Biomass (kg/ha),Weed_Biomass (kg/ha),Pest_Density (ind/m²),Bat_Population (ind/km²),Soil_Organic_Matter (%)
0,500.0,100.0,8.0,50.0,1.8
1,505.9019131660819,100.04976767623984,9.20386332870558,49.95005249120733,1.8039653126724762
2,511.727066307974,100.093421357124,10.536931202795651,49.90016782894885,1.807932057161541
3,517.4451559107224,100.12984634813571,12.037176415133935,49.85035980588155,1.8119003236822204
4,523.0378800144201,100.15932276999409,13.717016248737792,49.800628843639494,1.8158698475631132
5,528.4833341035917,100.18221906988917,15.589074203300425,49.75097546333244,1.8198403484187746
6,533.757569642409,100.19897866856267,17.664441423814853,49.70140024100547,1.8238115563591353
7,538.8367419119826,100.21009215428026,19.9505861169089,49.651903751934036,1.8277832406809424
8,543.6944687734378,100.21615674413283,22.451691325189184,49.602486629710945,1.831755178388908
9,548.3051342103167,100.21781443378408,25.16728091637752,49.55314948754464,1.8357271825492554
10,552.6439445042955,100.21575788437084,28.091634664795585,49.503892921726205,1.8396990990048245
11,556.6857542530574,100.21077096610902,31.21334122670447,49.454717547118904,1.8436707950773448
12,560.4067231813515,100.20370512983648,34.51475624825403,49.405623968005614,1.847642170698026
13,563.7850561677558,100.1954739111267,37.971975261894016,49.356612773602066,1.8516131610105995
14,566.8028078582568,100.18697598677639,41.55748555168263,49.30768449747678,1.8555837379194422
15,569.4434421430458,100.17925179671633,45.23563369380627,49.25883971111992,1.8595539089227697
16,571.6943016320417,100.17340242754084,48.96598423267818,49.21007897561698,1.8635237251596848
17,573.548703387454,100.17048228309606,52.707939431870344,49.161402788851184,1.867493283082597
18,575.0042998304754,100.17157009503087,56.419829633419724,49.112811639139714,1.8714627213033015
19,576.0635185470575,100.17773825774456,60.061300085905756,49.064305995012795,1.87543222169127
20,576.7333667619674,100.19004013652913,63.59502739507617,49.015886306412995,1.8794020085735863
21,577.0250505587967,100.20949740756342,66.98816327436471,48.96755300599657,1.8833723478255207
22,576.9534344775763,100.23708923999271,70.21339748446877,48.91930651047766,1.8873435453700413
23,576.536390778643,100.27374330290492,73.24958310320935,48.87114722194213,1.8913159452913535
24,575.7940904669601,100.32032883451994,76.0819229448564,48.823075529083695,1.8952899276287756
25,574.7482863759343,100.37765183429043,78.70176362099056,48.77509180833218,1.8992659059355792
26,573.4226654834538,100.44648118603051,81.10615542597355,48.72719644088879,1.9032443466716646
27,571.8399764159716,100.52747928678389,83.29711285823132,48.67938977867141,1.9072257215668311
28,570.0219843802931,100.62122351349106,85.28054463475517,48.63167215301213,1.911210511898285
29,567.9906772463754,100.72825721221369,87.06538754731712,48.5840439001549,1.9151992381197598
30,565.767078767613,100.84906296349104,88.66288176392034,48.53650534776539,1.9191924412854662
31,563.3710145168249,100.98406620344512,90.08579447983848,48.48905681534028,1.9231906806825652
32,560.8198142105381,101.13361796944818,91.34686096339254,48.44169859357509,1.9271944915297003
33,558.1312876099723,101.29805950111609,92.46058709317344,48.39443099670536,1.9312044806640336
34,555.3220331168508,101.4776900554449,93.44153981113854,48.34725433804159,1.9352212806588496
35,552.4058155565858,101.67274014205503,94.30274678799229,48.30016890100696,1.9392454931130714
36,549.395432780031,101.8834137044424,95.05686221134445,48.25317496746957,1.9432777388711089
37,546.302401871589,102.10988354307014,95.7157096910097,48.20627281193373,1.947318646183266
38,543.1370373922791,102.35229468960746,96.29018062775876,48.1594627015699,1.9513688497231836
39,539.9085590285532,102.61076798784404,96.79021317766126,48.11274489611412,1.955428989449099
40,536.6251920935439,102.88540312137015,97.22479650622427,48.06611964778503,1.9594997097060047
41,533.2942666005781,103.17628132769387,97.60200206049862,48.01958720118195,1.963581658435471
42,529.9223120809345,103.48346780337157,97.92903272758663,47.973147793169765,1.9676754864866732
43,526.515146358718,103.80701381465695,98.21228278263158,47.92680165275506,1.9717818470179183
44,523.0781550089382,104.14695945402579,98.45760985235631,47.88054901065898,1.9759014246460604
45,519.6158972508787,104.50333214458944,98.66989703555919,47.83439007804626,1.9800348711864946
46,516.1323248835024,104.87614995333823,98.85330045247798,47.78832505109727,1.98418281877704
47,512.6311724043621,105.2654248543419,99.01166773117122,47.7423541259743,1.9883459251181945
48,509.1157940233728,105.67116171287532,99.14835341261279,47.69647749034823,1.9925248482614466
49,505.5892121881589,106.09335914818578,99.26627653290805,47.65069532326245,1.9967202463361833
50,502.0541618253646,106.53201028914835,99.36797586948418,47.605007794988516,2.000932777293463
51,498.5131268026972,106.98710334778258,99.45565618884335,47.559415066904165,2.0051630986977487
52,494.9683716859148,107.45862208376003,99.53122969909109,47.513917291376394,2.009411867539639
53,491.4219693577862,107.94654617480221,99.59635303206757,47.46851461164968,2.013679740065214
54,487.87582496456633,108.45085150477067,99.65246003655746,47.423207161739526,2.0179673716185507
55,484.331696631575,108.97151038014765,99.70079072342878,47.37799506633169,2.0222754164943275
56,480.7912133495638,109.50849168432251,99.74241671669807,47.33287844068701,2.026604527797857
57,477.25589039298495,110.06176097793153,99.77826356045043,47.28785739055195,2.0309553573101975
58,473.72714259221783,110.63128055246098,99.8091302170935,47.24293201207485,2.03532855535636
59,470.20629574506694,111.21700944340435,99.83570607154843,47.19810239172775,2.039724770674841
60,466.6945964189062,111.81890340845716,99.85858573159176,47.15336860623378,2.044144650286989
61,463.19322036393515,112.43691487552589,99.87828188871062,47.10873072249996,2.0485888393648954
62,459.70327973015975,113.07099286471129,99.89523647791476,47.06418879755539,2.0530579810966887
63,456.2258292558354,113.72108288789168,99.9098303498819,47.01974287849448,2.0575527165482583
64,452.76187157303946,114.3871268290688,99.92239164516596,46.975393002425456,2.062073684520582
65,449.31236175658023,115.06906280823904,99.9332030382952,46.93113919642364,2.0666215214019403
66,445.8782112253589,115.76682503120927,99.94250799957504,46.88698147748958,2.0711968610144047
67,442.4602910903593,116.48034362748106,99.95051620432119,46.842919852511876,2.0758003344540845
68,439.05943503041493,117.20954447807387,99.95740820303456,46.79895431823455,2.08043256992469
69,435.67644176557843,117.95434903494197,99.9633394515935,46.75508486122879,2.0850941925640423
70,432.31207718809964,118.7146741334552,99.9684437877572,46.71131145786907,2.089785824263227
71,428.96707620251675,119.4904317992565,99.97283642900769,46.66763407431345,2.094508083478136
72,425.6421443190194,120.28152905067657,99.9766165568642,46.62405266648792,2.0992615850331995
73,422.33795903790354,121.08786769777234,99.97986954414228,46.58056718007484,2.104046939917148
74,419.05517105747447,121.90934413896127,99.98266887406679,46.537177550505135,2.1088647550706963
75,415.79440533305143,122.74584915614278,99.9850777935594,46.493883702954484,2.1137156331660636
76,412.55626201068065,123.59726770913049,99.9871507372896,46.45068555234304,2.1186001723782906
77,409.3413172556873,124.46347873016282,99.98893455410277,46.407583003338964,2.1235189661483367
78,406.1501239932103,125.34435491921147,99.99046956312391,46.36457595036547,2.128472602937985
79,402.9832125753029,126.23976254076848,99.9917904630972,46.321664277611355,2.133461665976586
80,399.84109138698113,127.14956122275942,99.9929271152876,46.278847859045044,2.1384867329997266
81,396.7242474017207,128.07360375820295,99.99390521747324,46.236126558431984,2.143548375979914
82,393.6331466952876,129.01173591021484,99.99474688414111,46.19350022935533,2.1486471608493947
83,390.5682349254061,129.9637962209352,99.99547114591073,46.15096871524003,2.153783647215265
84,387.52993778358336,130.92961582494243,99.99609437941008,46.10853184938002,2.1589583880670267
85,384.5186614244005,131.90901826770443,99.99663067727289,46.066189454968644,2.16417192947679
86,381.53476757576817,132.90183222483648,99.99709147451338,46.02394135820364,2.1694247743276196
87,378.57863825157966,133.90785996952766,99.9974877631298,45.98178735639069,2.1747174724833274
88,375.6506442372185,134.92689140155042,99.99782912675919,45.93972723259566,2.180050576547362
89,372.7511099796081,135.9587214913464,99.99812295004749,45.89776077353692,2.185424591456077
90,369.87566586386515,136.47729878393196,99.99837585201695,45.85295590138614,2.1908031472516085
91,367.01593841797416,135.70366931707647,99.99859541132902,45.800966300529005,2.196112230742419
92,364.1795221755932,134.226063185503,99.99878418345095,45.745061422762696,2.2013345976595433
93,361.3755087312171,132.6037680288901,99.99894366971442,45.68833487947895,2.206477060129354
94,358.6004745149457,130.84085132970105,99.9990811108002,45.630782518087344,2.211541803218588
95,355.85298677524514,128.96522848717416,99.99920061889465,45.57254094404134,2.2165297127623314
96,353.1352567835296,126.9917930393937,99.99930349480405,45.513670240606984,2.2214326311303454
97,350.4477073465581,124.94665391061774,99.99939205391138,45.45430121676602,2.22624838980695
98,347.7907622663525,122.8572881000604,99.99946829008444,45.39457997392266,2.2309760598560158
99,345.1648408247206,120.7516749791045,99.99953391967037,45.334664447842,2.235615958769485
100,342.57634435116984,118.65744552884622,99.76140876732363,45.27356522354827,2.240164841141295
101,340.0459542191194,116.59842607182576,98.85947203057235,45.2092319473516,2.2446193626093605
102,337.61150359277656,114.60140066753424,97.5424787718974,45.14249565257956,2.248981048456043
103,335.2801862542724,112.68513716514614,96.21069268173517,45.075184260269786,2.2532649329562426
104,333.06502986354684,110.88388068046851,94.79697528395747,45.00709414716964,2.257465283615945
105,330.9533257601349,109.19765303235258,93.30464375843455,44.93836252766017,2.261599739276654
106,328.9539199937771,107.64400417549676,91.72401254112617,44.868969016019214,2.2656698742186916
107,327.0703718952588,106.23266931152814,90.0529794516792,44.79892771980111,2.269681878642273
108,325.306205978361,104.97024114335689,88.29393365476604,44.728251037551544,2.2736421450565896
109,323.66467901286285,103.86033676694723,86.45368067117336,44.65695312341439,2.2775571534460117
110,322.1485687012711,102.9038287069367,84.54324688543154,44.585053801732016,2.281433370257343
